frequency,actual_frequency,mean_velocity,standard_deviation,expected_velocity,percent_error
1,0.9,8.77255364,0.789266673,9,2.592704118
1.5,1.35,12.98316025,1.36626895,13.5,3.980847057
2,1.8,16.9461435,2.28364328,18,6.218857411
2.5,2.25,20.25310402,2.963247331,22.5,11.09408204
3,2.7,22.17461912,4.126827061,27,21.7608287
3.5,3.15,22.56571399,4.860274423,31.5,39.5923037
4,3.6,21.12063266,5.078280583,36,70.44943954
4.5,4.05,20.72029587,6.13696533,40.5,95.4605294
5,4.5,20.89712972,4.010625984,45,115.3405783
5.5,4.95,17.49664856,5.585024834,49.5,182.9113234
6,5.4,17.7939437,5.435038648,54,203.4740411
6.5,5.85,14.66706464,5.373000098,58.5,298.8528136
7,6.3,14.93395489,5.185046534,63,321.8574413
7.5,6.75,17.68631384,5.147816849,67.5,281.651036
8,7.2,12.52373872,5.301669809,72,474.9081934
8.5,7.65,15.93733557,5.398564061,76.5,380.0049522
9,8.1,12.27041018,5.585532468,81,560.1246317
